                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.48843,                0.34063,                0.85694,                0.96182,                0.88614,                0.88487,                0.82752,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.48509,                0.33343,                0.85382,                0.96094,                0.88614,                0.88719,                 0.8252,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.46152,                0.31956,                0.84751,                0.96227,                0.88393,                 0.8896,                0.83442,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.47121,                0.31821,                 0.8496,                0.96751,                0.88447,                0.89203,                0.83837,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.46345,                0.32693,                 0.8454,                0.96093,                0.88614,                0.89097,                0.84371,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.47837,                0.32498,                0.85432,                0.96234,                0.88545,                0.89228,                0.84139,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.46845,                  0.325,                0.84843,                0.95704,                0.88232,                0.88835,                0.83147,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.44167,                0.30646,                0.84974,                0.96219,                0.88181,                0.88949,                0.83217,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.43758,                0.30775,                0.85201,                0.96633,                0.88614,                0.89054,                0.83906,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.45512,                0.31197,                0.84126,                0.96553,                0.88614,                0.89247,                0.84244,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.41733,                0.29124,                0.81411,                0.96658,                0.88614,                0.90068,                0.83902,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.40154,                0.27905,                0.81519,                0.96146,                0.88614,                0.89829,                0.84402,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.39289,                0.26791,                0.81235,                0.96591,                0.88119,                0.90032,                0.85349,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.39682,                0.26553,                0.80603,                0.96756,                 0.8859,                 0.9036,                  0.852,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.39086,                0.25987,                0.80849,                0.96017,                0.88614,                0.90324,                0.85379,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.39616,                0.26252,                0.80797,                0.96129,                0.88614,                0.90425,                0.85466,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.37653,                0.25126,                0.80343,                0.96755,                0.88576,                0.90544,                0.85622,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.37111,                0.25097,                0.79602,                0.96154,                0.88614,                0.90608,                0.85517,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.37179,                 0.2513,                0.80642,                0.96184,                0.88614,                0.90578,                0.85697,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.37595,                0.24558,                0.80662,                0.96196,                0.88614,                0.90623,                0.86084,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
